"
			The Batch {0} of an item {1} has negative stock in the warehouse {2}. Please add a stock quantity of {3} to proceed with this entry.","
			Партія {0} товару {1} має від'ємний залишок на складі {2}. Будь ласка, додайте кількість запасів {3}, щоб продовжити цей запис."
 , 
  , 
 Address, Адреса
 Amount, Сума
 BOM, Специфікація
 Default Work In Progress Warehouse , Склад незавершеного виробництва за замовчуванням 
 Is Child Table, Є дочірньою таблицею
 Is Subcontracted, Є субпідрядним
 Item, Товар
 Name, Найменування
 Phantom Item, Фантомний товар
 Qty, Кіл-ть
 Rate, Ставка
 Raw Material, Сировина
 Skip Material Transfer, Пропустити переміщення матеріалів
 Sub Assembly, Підвузол
 Summary, Підсумок
"""Customer Provided Item"" cannot be Purchase Item also","""Товар, наданий клієнтом"" не може бути предметом закупівлі"
"""Customer Provided Item"" cannot have Valuation Rate","""Товар, наданий клієнтом"" не може мати оціночну ставку"
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","Не можна зняти відмітку ""Є основним засобом"", оскільки за даним елементом існує запис активу"
"""SN-01::10"" for ""SN-01"" to ""SN-10""","""SN-01::10"" для ""SN-01"" до ""SN-10"""
"# Account Settings

In ERPNext, Accounting features are configurable as per your business needs. Accounts Settings is the place to define some of your accounting preferences like:

 - Credit Limit and over billing settings
 - Taxation preferences
 - Deferred accounting preferences
","# Налаштування облікового запису

В ERPNext функції обліку налаштовуються відповідно до ваших бізнес-потреб. Налаштування рахунків — це місце для визначення деяких ваших облікових переваг, таких як:

 - Кредитний ліміт та налаштування овербілінгу
 - Податкові переваги
 - Налаштування відстроченого обліку
"
"# Account Settings

This is a crucial piece of configuration. There are various account settings in ERPNext to restrict and configure actions in the Accounting module.

The following settings are avaialble for you to configure

1. Account Freezing 
2. Credit and Overbilling
3. Invoicing and Tax Automations
4. Balance Sheet configurations

There's much more, you can check it all out in this step","# Налаштування облікового запису

Це важлива частина конфігурації. У ERPNext є різні налаштування облікових записів для обмеження та налаштування дій у модулі обліку.

Для налаштування доступні наступні параметри

1. Заморожування рахунків 
2. Кредит та овербілінг
3. Виставлення рахунків та автоматизація податків
4. Конфігурації балансу

Є ще багато іншого, ви можете переглянути все це на цьому кроці"
"# Add an Existing Asset

If you are just starting with ERPNext, you will need to enter Assets you already possess. You can add them as existing fixed assets in ERPNext. Please note that you will have to make a Journal Entry separately updating the opening balance in the fixed asset account.","# Додати наявний актив

Якщо ви тільки починаєте працювати з ERPNext, вам потрібно буде ввести активи, які ви вже маєте. Ви можете додати їх як наявні основні засоби в ERPNext. Зверніть увагу, що вам потрібно буде окремо створити запис у журналі, оновивши початковий баланс на рахунку основних засобів."
"# All about sales invoice

A Sales Invoice is a bill that you send to your Customers against which the Customer makes the payment. Sales Invoice is an accounting transaction. On submission of Sales Invoice, the system updates the receivable and books income against a Customer Account.","# Все про рахунок-фактуру продажу

Рахунок-фактура продажу — це рахунок, який ви надсилаєте своїм клієнтам, за яким клієнт здійснює платіж. Рахунок-фактура продажу є обліковою транзакцією. При поданні рахунку-фактури продажу система оновлює дебіторську заборгованість та записує дохід на рахунок клієнта."
"# All about sales invoice

A Sales Invoice is a bill that you send to your Customers against which the Customer makes the payment. Sales Invoice is an accounting transaction. On submission of Sales Invoice, the system updates the receivable and books income against a Customer Account.

Here's the flow of how a sales invoice is generally created


![Sales Flow](https://docs.erpnext.com/docs/assets/img/accounts/so-flow.png)","# Все про рахунок-фактуру продажу

Рахунок-фактура продажу — це рахунок, який ви надсилаєте своїм клієнтам, за яким клієнт здійснює платіж. Рахунок-фактура продажу є обліковою транзакцією. При поданні рахунку-фактури продажу система оновлює дебіторську заборгованість та записує дохід на рахунок клієнта.

Ось схема того, як зазвичай створюється рахунок-фактура продажу


![Sales Flow](https://docs.erpnext.com/docs/assets/img/accounts/so-flow.png)"
"# Asset Category

An Asset Category classifies different assets of a Company.

You can create an Asset Category based on the type of assets. For example, all your desktops and laptops can be part of an Asset Category named ""Electronic Equipments"". Create a separate category for furniture. Also, you can update default properties for each category, like:
 - Depreciation type and duration
 - Fixed asset account
 - Depreciation account
","# Категорія активів

Категорія активів класифікує різні активи компанії.

Ви можете створити категорію активів на основі типу активів. Наприклад, усі ваші настільні комп'ютери та ноутбуки можуть бути частиною категорії активів під назвою ""Електронне обладнання"". Створіть окрему категорію для меблів. Крім того, ви можете оновити властивості за замовчуванням для кожної категорії, наприклад:
 - Тип та тривалість амортизації
 - Рахунок основних засобів
 - Рахунок амортизації
"
"# Asset Item

Asset items are created based on Asset Category. You can create one or multiple items against once Asset Category. The sales and purchase transaction for Asset is done via Asset Item. ","# Позиція активу

Позиції активів створюються на основі категорії активів. Ви можете створити одну або кілька позицій для однієї категорії активів. Транзакції продажу та купівлі активів здійснюються через позицію активу. "
"# Buying Settings


Buying module’s features are highly configurable as per your business needs. Buying Settings is the place where you can set your preferences for:

- Supplier naming and default values
- Billing and shipping preference in buying transactions


","# Налаштування закупівель


Функції модуля закупівель у ERPNext гнучко налаштовуються відповідно до потреб вашого бізнесу. Налаштування закупівель — це місце, де ви можете визначити свої вподобання для:

- Назви постачальника
- Стандартних значень для замовлень на закупівлю та рахунків-фактур
- Налаштувань повернення закупівлі"
"# CRM Settings

CRM module’s features are configurable as per your business needs. CRM Settings is the place where you can set your preferences for:
- Campaign
- Lead
- Opportunity
- Quotation","# Налаштування CRM

Функції модуля CRM налаштовуються відповідно до потреб вашого бізнесу. Налаштування CRM — це місце, де ви можете визначити свої вподобання для:
- Кампанії
- Лідів
- Можливостей"
"# Chart Of Accounts

ERPNext sets up a simple chart of accounts for each Company you create, but you can modify it according to business and legal requirements.","# План рахунків

ERPNext створює простий план рахунків для кожної компанії, яку ви створюєте, але ви можете змінити його відповідно до бізнес-вимог та юридичних вимог."
"# Check Stock Reports
Based on the various stock transactions, you can get a host of one-click Stock Reports in ERPNext like Stock Ledger, Stock Balance, Projected Quantity, and Ageing analysis.","# Перевірка звітів по запасах
На основі різних операцій із запасами ви можете отримати безліч звітів по запасах в один клік у ERPNext, таких як книга запасів, баланс запасів, прогнозована кількість та аналіз старіння."
"# Cost Centers for Budgeting and Analysis

While your Books of Accounts are framed to fulfill statutory requirements, you can set up Cost Center and Accounting Dimensions to address your companies reporting and budgeting requirements.

Click here to learn more about how  <b>[Cost Center](https://docs.erpnext.com/docs/v13/user/manual/en/accounts/cost-center)</b> and <b> [Dimensions](https://docs.erpnext.com/docs/v13/user/manual/en/accounts/accounting-dimensions)</b> allow you to get advanced financial analytics reports from ERPNext.","# Центри витрат для бюджетування та аналізу

Хоча ваші бухгалтерські книги складені для виконання законодавчих вимог, ви можете налаштувати центр витрат та облікові виміри для задоволення потреб вашої компанії у звітності та бюджетуванні.

Натисніть тут, щоб дізнатися більше про те, як <b>[Центр витрат](https://docs.erpnext.com/docs/v13/user/manual/en/accounts/cost-center)</b> та <b> [Виміри](https://docs.erpnext.com/docs/v13/user/manual/en/accounts/accounting-dimensions)</b> дозволяють отримувати розширені звіти фінансової аналітики з ERPNext."
"# Create Items for Bill of Materials

One of the prerequisites of a BOM is the creation of raw materials, sub-assembly, and finished items. Once these items are created, you will be able to proceed to the Bill of Materials master, which is composed of items and routing.
","# Створення позицій для специфікації матеріалів

Однією з передумов специфікації є створення сировини, субскладання та готових виробів. Після створення цих позицій ви зможете перейти до основної специфікації матеріалів, яка складається з позицій та маршрутизації.
"
"# Create Operations

An Operation refers to any manufacturing operation performed on the raw materials to process it further in the manufacturing path. As an example, if you are into garments manufacturing, you will create Operations like fabric cutting, stitching, and washing as some of the operations.","# Створення операцій

Операція відноситься до будь-якої виробничої операції, що виконується над сировиною для її подальшої обробки у виробничому процесі. Наприклад, якщо ви займаєтеся виробництвом одягу, ви створите операції, такі як різання тканини, зшивання та прання як деякі з операцій."
